recpname,recpversion,mean,active_lower_bound,active_upper_bound
SGU63,.10,654,172,1221
SHAS1,.01,19387290,0,48171552
SKC02,.02,68,9,275
SKE01,.01,0,0,0
SKG01,.01,0,0,0
SKO0W,.01,9,0,24
SKP01,.05,547,117,1385
SKP02,.01,0,0,0
SKP0W,.01,228,16,631
SKQ01,.01,0,0,0
SKR02,.04,1765,8,5224
SKR03,.03,0,0,0
SLI01,.05,1396,579,2212
SLI02,.03,1146,192,2147
SLI03,.03,1366,503,2228
SLI04,.04,12,0,156
SLI05,.04,6,0,101
SLI61,.01,2019,321,3924
SLI63,.01,1968,319,3860
SLP01,.08,4689,616,8761
SLP02,.05,5157,2334,9220
SLP03,.09,4410,1362,8223
SLP08,.03,4462,1013,7439
SLP09,.04,4083,2451,7455
SLP10,.04,7597,1418,13897
SLP12,.06,4746,2245,8396
SLP13,.03,7371,3979,12515
SLP61,.04,5854,4071,8069
SLP62,.02,2453,0,6003
SLP63,.06,3952,2652,5757
SLP64,.03,1902,0,5734
SLR01,.10,4519,3168,6468
SLR02,.09,4680,3758,6540
SLR05,.05,3300,160,6265
SLR10,.05,4339,2347,6330
SLR12,.03,4861,3763,6909
SLR61,.09,4481,3175,6278
SLR62,.07,4362,3758,5798
SLR65,.04,3459,365,6525
SLR66,.03,4316,3168,6137
SLR67,.02,8884,0,60090
SLR69,.01,3787,2573,4698
SLW02,.01,56,0,376
SMOV1,.03,0,0,0
SMOV2,.01,5,2,21
SMOV3,.07,0,0,0
SMOV4,.02,0,0,0
SMOV5,.03,27,0,439
SMOV6,.01,84,5,319
SMOV8,.01,0,0,0
SMOV9,.01,1,0,11
SMOVA,.02,0,0,2
SMOVE,.02,0,0,0
SMOVG,.02,10,5,38
SMOVH,.01,0,0,0
SMOVK,.02,0,0,0
SMOVL,.01,0,0,0
SMOVM,.01,0,0,0
SMOVN,.01,1,0,13
SMVCC,.01,15730,4083,30131
SMVCW,.01,11626,3005,24536
SOB01,.08,3118,1584,6013
SOB02,.04,2091,444,5647
SOC01,.14,1446,464,3072
SOC03,.07,1797,684,3288
SOC20,.02,139,0,577
SOC21,.01,0,0,0
SOC22,.01,0,0,0
SOC23,.01,0,0,0
SOC24,.01,0,0,0
SOC25,.01,0,0,0
SOC26,.01,0,0,0
SOC27,.02,96,0,354
SOC28,.01,0,0,0
SOC29,.01,0,0,0
SOC2A,.01,151,0,670
SOC41,.01,0,0,0
SOC42,.01,0,0,0
SOC43,.01,91,0,364
SOC44,.01,0,0,0
SOC45,.04,0,0,0
SOC46,.01,0,0,0
SOC47,.01,0,0,0
SOC48,.02,85,0,320
SOC61,.02,343,0,937
SOC62,.01,134,0,517
SOC63,.01,79,0,298
SOC64,.01,148,0,436
SOC65,.02,73,0,280
SOC66,.01,62,0,264
SOD01,.08,3645,1705,5798
SOD02,.08,3239,1691,6660
SOD03,.05,3010,0,7816
SOD04,.07,2276,1232,4242
SOD05,.04,6063,2475,13921
SOD06,.09,8045,14,23257
SOD08,.05,28,0,391
SOD09,.08,5,0,186
SOD0B,.01,0,0,0
SOD10,.04,0,0,0
SOD61,.01,0,0,0
SOD62,.06,2827,1436,5085
SOD63,.09,6902,1503,16826
SOD64,.04,11347,790,41438
SOD66,.09,7852,1004,15731
SOD68,.07,0,0,0
SOD69,.08,0,0,0
SOD6A,.01,2780,1205,4407
SOD6B,.01,0,0,0
SOE01,.05,3502,2536,5383
SOE02,.04,2638,2191,3729
SOE04,.05,2881,2536,3795
SOE06,.03,1490,0,4344
SOE08,.02,3814,2189,7788
SOE09,.02,1092,0,2971
SOE10,.02,1275,0,3314
SOE62,.07,2513,2192,3445
SOE63,.03,2601,2424,3212
SOE64,.07,2747,2538,3431
SOE65,.02,4272,3,15831
SOE66,.02,740,0,3162
SOE67,.06,2795,2538,3594
SOE69,.02,1695,0,4603
SOE6A,.02,1000,0,3708
SOE6B,.01,1979,1796,2312
SOEV1,.04,2959,2535,3989
SOH01,.15,3483,680,7144
SOH61,.08,5312,1013,10541
SOI01,.05,3021,1445,5340
SOJ01,.04,3362,563,6999
SOJ61,.04,3169,30,6594
SOK01,.10,1603,389,2892
SOK02,.11,1501,670,2331
SOK03,.10,1739,863,2614
SOK04,.04,5196,735,9657
SOK05,.09,2738,729,4746
SOK06,.04,1632,424,3191
SOK63,.10,1891,884,2897
SOK65,.02,2846,1795,4385
SOM01,.10,756,428,1327
SOM02,.08,784,618,949
SOM03,.03,1080,895,1258
SOM62,.10,828,630,1025
SOM63,.04,1296,1062,1529
SOM65,.02,821,412,977
SOM6A,.05,1111,520,2742
SOM6B,.01,0,0,0
SOP01,.11,762,335,1957
SOP02,.02,1416,268,4383
SOP61,.08,1579,318,4002
SOP62,.03,2397,2397,2397
SOP63,.02,800,335,2104
SOS01,.05,4551,1151,9594
SOU01,.02,10893,7198,16427
SOV01,.05,2002,470,4841
SOW04,.05,2188,0,9242
SOW05,.04,186,0,763
SOW06,.01,337,0,986
SOW07,.01,549,0,2100
SOX01,.07,2833,2376,4197
SOX02,.07,3407,2376,5930
SOX03,.01,3226,2374,5292
SOX05,.01,3007,891,5122
SOX06,.01,2849,2377,3322
SOX61,.07,3276,2377,4788
SOX62,.03,9550,11,38539
SOX63,.03,4088,2394,6287
SOX65,.01,3288,995,5580
SPA01,.12,7836,7835,7841
SPA61,.04,7836,7835,7844
SPB01,.05,2901,2501,3300
SPB03,.01,3337,2436,4625
SPB61,.08,3043,2478,3607
SPB6P,.01,2217,1264,3169
SPBF1,.01,1355,1355,1355
SPC01,.08,23916,21038,29141
SPC02,.06,25196,21038,29141
SPC61,.04,25737,21038,29141
SPC62,.04,26485,21038,29141
SPD01,.05,6193,2698,12047
SPD02,.04,2333,1356,3930
SPD04,.03,1925,1209,2802
SPD06,.02,0,0,0
SPD08,.02,655,137,2822
SPD09,.03,1254,221,2731
SPD0A,.03,2406,1070,4652
SPD62,.05,2358,1628,4087
SPD63,.04,3336,1192,5193
SPD64,.04,3427,1638,4842
SPD66,.02,319,95,937
SPD68,.03,1295,205,4310
SPD69,.03,1846,1142,2789
SPD6A,.02,2925,714,5135
SPD6B,.01,826,6,2146
SPD6P,.01,3042,985,7367
SPD92,.06,2316,1143,4097
SPD94,.06,1714,1070,2606
SPDD2,.07,2415,1468,4005
SPDD3,.02,2272,1262,3971
SPDD4,.06,1881,1305,2683
SPDF9,.01,2740,2740,2740
SPDV1,.02,1620,627,2612
SPE01,.09,1119,635,1741
SPE02,.06,1071,660,1595
SPE03,.12,1031,404,1657
SPE04,.07,825,233,1685
SPE05,.06,921,180,1918
SPE08,.01,821,296,1345
SPE09,.02,637,299,974
SPE11,.09,1024,644,1532
SPE12,.05,792,420,1180
SPE14,.05,1823,1090,2817
SPE15,.04,997,278,1715
SPE61,.07,1238,812,1905
SPE62,.05,1121,924,1498
SPE63,.06,1246,695,1908
SPE64,.03,1115,801,1708
SPE65,.06,892,592,1225
SPE66,.04,911,635,1186
SPE67,.06,1972,1205,3100
SPE68,.03,1048,584,1511
SPE69,.02,996,463,1528
SPE6A,.02,955,504,1405
SPE6P,.01,391,391,391
SPE6Q,.01,1808,435,3217
SPEV1,.05,1054,382,1945
SPF01,.06,4334,1949,6718
SPF02,.06,2357,1267,3536
SPF04,.02,2400,1716,3083
SPF62,.06,2505,2052,3142
SPF63,.04,2414,1624,3203
SPF92,.08,2367,1456,3310
SPFD2,.06,2455,1837,3139
SPFD3,.05,2343,1329,3356
SPFM3,.01,2574,950,4197
SPG61,.01,0,0,0
SPG62,.01,0,0,0
SPH01,.06,2871,1559,4687
SPH61,.06,5262,3020,7534
SPI01,.03,409,2,1200
SPK01,.07,3455,1683,5826
SPK02,.04,7379,2293,14658
SPK03,.04,3916,1265,9064
SPK07,.07,3109,1807,4769
SPK08,.06,3174,1475,5616
SPK15,.03,233,139,435
SPK16,.03,1978,842,3585
SPK17,.01,6488,1942,13720
SPK18,.02,5673,1609,11953
SPK61,.06,3197,2129,5164
SPK63,.05,854,390,2017
SPK64,.02,280,11,564
SPK67,.04,3732,2573,5308
SPK68,.06,2572,1444,4230
SPK6A,.03,663,158,1404
SPK6B,.01,3826,1625,6461
SPK6C,.03,3282,907,5837
SPK6D,.03,1162,170,2953
SPK91,.02,3664,1653,6113
SPKD1,.09,3488,1895,5853
SPL01,.05,1198,646,2120
SPL02,.08,1450,977,1981
SPL62,.06,1638,1308,2175
SPL6A,.01,1904,304,3599
SPM01,.06,2185,1522,3702
SPM02,.10,3603,1989,6029
SPM04,.03,3181,1609,5445
SPM61,.06,2424,1676,3719
SPM62,.10,2254,1366,3141
SPM64,.04,2240,1673,2806
SPN01,.08,5407,1668,10924
SPN02,.03,0,0,7
SPN03,.03,0,0,0
SPN04,.03,0,0,0
SPN61,.07,6464,1898,13128
SPO01,.02,0,0,0
SPO61,.02,0,0,0
SPP01,.05,1816,17,5883
SPQ01,.14,1562,931,2517
SPQ61,.06,1702,1093,2658
SPR01,.10,2323,1260,3973
SPR02,.05,2753,1294,4520
SPR03,.06,2730,486,4973
SPR06,.09,2133,1217,3215
SPR07,.06,3005,1076,5798
SPR08,.03,2273,1521,3259
SPR09,.03,1720,7,3940
SPR11,.03,678,150,1477
SPR12,.01,2685,945,4648
SPR61,.07,2094,1287,3372
SPR65,.03,2058,1177,3276
SPR66,.06,1860,1282,2710
SPR67,.08,2062,1298,3387
SPR68,.03,1970,1102,2837
SPS02,.04,1260,0,4498
SPS03,.02,5645,397,16161
SPS62,.05,2183,359,5773
SPS63,.04,5286,400,14899
SPST1,.01,0,0,0
SPT01,.07,235,0,2060
