recpid,recpname,recpversion,count,mean,mode,lower_bound,upper_bound
3LMK1.04,3LMK1,.04,9683,5726.267272539502,1166,661,12449
3LMU1.02,3LMU1,.02,1,551.0,551,551,551
3LMU2.02,3LMU2,.02,5183,414.15357900829633,301,132,930
3LMU2.03,3LMU2,.03,16658,214.1293672709809,0,0,909
3LMU3.02,3LMU3,.02,181,420.7182320441989,184,145,887
3LMU3.03,3LMU3,.03,287,306.7526132404181,123,122,770
3MAP1.02,3MAP1,.02,428,0.0,0,0,0
3MAP2.01,3MAP2,.01,226,0.0,0,0,0
3MOV3.02,3MOV3,.02,3229,0.0,0,0,0
3MOV3.04,3MOV3,.04,12527,0.0,0,0,0
3MOV3.05,3MOV3,.05,6654,0.0,0,0,0
3MOV4.01,3MOV4,.01,22409,0.0,0,0,0
3MOV7.01,3MOV7,.01,46,0.0,0,0,0
3MOVA.01,3MOVA,.01,208,0.0,0,0,0
3MOVB.01,3MOVB,.01,245,0.0,0,0,0
3MOVB.02,3MOVB,.02,1420,0.0,0,0,0
3MOVC.01,3MOVC,.01,1420,17.19154929577465,11,7,41
3MOVG.01,3MOVG,.01,17,2.9411764705882355,0,0,7
3MVCC.01,3MVCC,.01,8362,0.0,0,0,0
3MVCC.02,3MVCC,.02,14216,10748.22706809229,0,0,21551
3OC01.02,3OC01,.02,1885,0.0,0,0,0
3OC02.02,3OC02,.02,1910,156.53403141361255,0,0,579
3OC03.02,3OC03,.02,1871,137.32602886157136,0,0,447
3OC04.02,3OC04,.02,2569,0.0,0,0,0
3OC05.02,3OC05,.02,2663,32.07660533233196,0,0,181
3OC06.02,3OC06,.02,2757,29.376496191512512,0,0,173
3OC07.02,3OC07,.02,2556,31.802034428794993,0,0,181
3ORT1.01,3ORT1,.01,9,18.555555555555557,0,0,62
3ORV1.01,3ORV1,.01,5,7.4,0,0,14
3ORV2.01,3ORV2,.01,5,17.6,0,0,73
3ORV3.01,3ORV3,.01,5,3.6,0,0,18
3PGD1.01,3PGD1,.01,11288,3918.0540396881643,4248,2413,5219
3PGW6.02,3PGW6,.02,4260,0.0,0,0,0
3PGW6.03,3PGW6,.03,10,0.0,0,0,0
3PGW6.04,3PGW6,.04,6831,0.0,0,0,0
3PGW7.01,3PGW7,.01,4285,821.9922987164528,486,429,1859
3PGW7.02,3PGW7,.02,22,571.8636363636364,0,0,2162
3PGW7.03,3PGW7,.03,5,2233.2,0,0,7707
3PGW7.04,3PGW7,.04,7060,704.2739376770538,584,450,1213
3PIN1.03,3PIN1,.03,4057,0.0,0,0,0
3PIN1.04,3PIN1,.04,3466,0.0,0,0,0
3PIN1.05,3PIN1,.05,1235,0.0,0,0,0
3PIN1.06,3PIN1,.06,1925,0.0,0,0,0
3PIN2.01,3PIN2,.01,3947,228.6982518368381,184,130,433
3PIN2.02,3PIN2,.02,6847,255.19570614867825,184,128,567
3PIN2.03,3PIN2,.03,83,6621.975903614458,258,129,50194
3PIN3.01,3PIN3,.01,4166,223.35813730196833,176,126,430
3PIN3.02,3PIN3,.02,6439,233.67075632862245,177,130,452
3PIN3.03,3PIN3,.03,526,3124.174904942966,155,137,23992
3PIN3.04,3PIN3,.04,31,465.741935483871,194,134,1661
3PIN4.02,3PIN4,.02,4768,1664.9802852348994,1228,168,3780
3PIN4.03,3PIN4,.03,309,1315.3851132686084,1297,135,2592
3PIN4.04,3PIN4,.04,4386,1565.0139078887369,1440,196,3155
3PIN4.07,3PIN4,.07,29,1015.0,0,0,3639
3PIN4.08,3PIN4,.08,4267,1631.1574876962736,1540,207,3504
3PIN5.01,3PIN5,.01,8941,0.0,0,0,0
3PIN5.02,3PIN5,.02,3993,0.0,0,0,0
3PIN6.01,3PIN6,.01,5040,344.5698412698413,192,124,1307
3PIN6.02,3PIN6,.02,8540,279.2645199063232,124,124,730
3PSP1.02,3PSP1,.02,5148,374.9254079254079,10,8,926
